Role__c,Training_Module__c,Required__c
"Construction Team Lead","Basic Construction Safety","true"
"Construction Team Lead","Advanced Construction Leadership","true"
"ESL Tutor","ESL Teaching Fundamentals","true"
"ESL Tutor","Translation Best Practices","false"
"Garden Coordinator","Garden Planning Basics","true"
"Garden Coordinator","Basic Construction Safety","false"
"Tech Instructor","Computer Skills 101","true"
"Tech Instructor","ESL Teaching Fundamentals","false"
"Financial Coach","Financial Literacy Fundamentals","true"
"Financial Coach","Event Planning Essentials","false"
"Translator","Translation Best Practices","true"
"Translator","ESL Teaching Fundamentals","false"
"Event Coordinator","Event Planning Essentials","true"
