Name,Training_Module__c,Type__c,URL__c,Learning_Style__c
"Construction Safety Video","Basic Construction Safety","Video","https://example.com/safety-video","Visual"
"Construction Safety Manual","Basic Construction Safety","Document","https://example.com/safety-manual","Reading/Writing"
"ESL Teaching Guide","ESL Teaching Fundamentals","Document","https://example.com/esl-guide","Reading/Writing"
"ESL Teaching Techniques Video","ESL Teaching Fundamentals","Video","https://example.com/esl-techniques","Visual"
"Garden Planning Worksheet","Garden Planning Basics","Document","https://example.com/garden-worksheet","Reading/Writing"
"Garden Planning Tutorial","Garden Planning Basics","Video","https://example.com/garden-tutorial","Visual"
"Computer Skills Presentation","Computer Skills 101","Presentation","https://example.com/computer-skills","Multiple"
"Computer Skills Practice Exercises","Computer Skills 101","Quiz","https://example.com/computer-practice","Kinesthetic"
"Financial Coaching Guide","Financial Literacy Fundamentals","Document","https://example.com/financial-guide","Reading/Writing"
"Financial Coaching Scenarios","Financial Literacy Fundamentals","Quiz","https://example.com/financial-scenarios","Kinesthetic"
"Translation Practice Audio","Translation Best Practices","Video","https://example.com/translation-audio","Auditory"
"Leadership in Construction Course","Advanced Construction Leadership","Website","https://example.com/leadership-course","Multiple"
"Event Planning Checklist","Event Planning Essentials","Document","https://example.com/event-checklist","Reading/Writing"
